"name_el","OGC_FID","WKT_GEOMETRY","id","name","x","y","cat","url"
"Άγιος Θαλέλαιος Τσικαλαριού","277","POINT (25.47240676443959 37.069747019816354)","276","Ag Thalelaios Tsikal","                      630744.180","                     4103335.170","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/thaleleos_tsikalario.htm"
"Παναγιά Αριοβέρσα","278","POINT (25.510794088721411 36.999420554228955)","277","Panagia Arioversa","                      634280.880","                     4095586.360","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/panagia_ariobesa_kalantos"
"Χρυσοπηγή","279","POINT (25.525121211373005 37.057669327702918)","278","Xrysophgh","                      635452.180","                     4102069.110","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/xrysophgh.htm"
"Παναγιά Αθαλασσάς","280","POINT (25.414763384811206 36.990328084588334)","279","Panagia Athalassa","                      625750.560","                     4094446.300","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/panagia_athalasa.htm"
"Παναγιά Δαμιώτισα","281","POINT (25.488458137832346 37.069114009337817)","280","Panagia Damiotisa","                      632172.300","                     4103287.170","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/Panagia_Damiotisa.htm"
"Παναγιά Καλοξύλου","282","POINT (25.496180327414155 37.07190492659926)","281","Panagia Kaloxylos","                      632853.960","                     4103607.590","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/panagia_kalojilos.htm"
"Παναγιά Καστριανή","283","POINT (25.459866414350547 37.06693832354707)","282","Panagia Kastrianh","                      629634.090","                     4103006.360","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/panagia_kastrianh.htm"
"Παναγιά Κερρά","284","POINT (25.571144579261503 37.103439251356377)","283","Panagia Kerra","                      639460.520","                     4107213.780","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/panagia_kerra_argokoilh.h"
"Παναγιά Μεσοσπορίτισσα","285","POINT (25.471238466775919 37.00013383101313)","284","Panagia Mesosporitisa","                      630759.780","                     4095610.360","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/panagia_mesosporitisa.htm"
"Παναγιά Νιφιότισσα","286","POINT (25.480499391032513 37.083978461055089)","285","Panagia Nifiotisa","                      631439.040","                     4104925.260","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/panagia_nifiotisa.htm"
